date,asset_ticker,asset_type,open,high,low,close,volume
2025-07-25,UUP,stock,27.25,27.2752,27.19,27.19,870998
2025-07-24,UUP,stock,27.1,27.135,27.0501,27.13,895141
2025-07-23,UUP,stock,27.16,27.1776,27.0515,27.06,2129521
2025-07-22,UUP,stock,27.23,27.2478,27.09,27.1,1688577
2025-07-21,UUP,stock,27.3,27.32,27.19,27.24,2401320
2025-07-18,UUP,stock,27.33,27.42,27.31,27.42,910762
2025-07-17,UUP,stock,27.46,27.4899,27.44,27.46,1520159
2025-07-16,UUP,stock,27.47,27.51,27.1833,27.34,2539602
2025-07-15,UUP,stock,27.3,27.458,27.2949,27.44,1713345
2025-07-14,UUP,stock,27.25,27.3,27.22,27.29,1313450
2025-07-11,UUP,stock,27.19,27.235,27.155,27.22,597525
2025-07-10,UUP,stock,27.14,27.21,27.12,27.14,1247288
2025-07-09,UUP,stock,27.1,27.13,27.08,27.09,703234
2025-07-08,UUP,stock,27.15,27.1899,27.08,27.09,1337321
2025-07-07,UUP,stock,27.03,27.1399,27.02,27.07,1337763
2025-07-03,UUP,stock,26.95,27,26.91,26.98,1148886
2025-07-02,UUP,stock,26.94,26.97,26.85,26.85,774485
2025-07-01,UUP,stock,26.83,26.91,26.805,26.87,1503867
2025-06-30,UUP,stock,27,27.0049,26.87,26.88,1023052
2025-06-27,UUP,stock,26.99,27.05,26.95,27.02,1373652
2025-06-26,UUP,stock,26.96,27.005,26.9,26.97,1559949
2025-06-25,UUP,stock,27.22,27.22,27.07,27.08,1828565
2025-06-24,UUP,stock,27.21,27.2248,27.1,27.15,1538778
2025-06-23,UUP,stock,27.52,27.53,27.27,27.29,2885642
2025-06-20,UUP,stock,27.36,27.415,27.333,27.4,1191604
2025-06-18,UUP,stock,27.35,27.445,27.29,27.43,2202591
2025-06-17,UUP,stock,27.19,27.4,27.19,27.38,2361395
2025-06-16,UUP,stock,27.1,27.2,27.05,27.2,1534081
2025-06-13,UUP,stock,27.27,27.2888,27.1401,27.17,2720948
2025-06-12,UUP,stock,27.09,27.135,27.06,27.1,1260794
2025-06-11,UUP,stock,27.35,27.37,27.27,27.3,833495
2025-06-10,UUP,stock,27.35,27.43,27.35,27.4,732129
2025-06-09,UUP,stock,27.45,27.45,27.37,27.37,604624
2025-06-06,UUP,stock,27.47,27.48,27.395,27.44,758375
2025-06-05,UUP,stock,27.2,27.3259,27.195,27.3,1105546
2025-06-04,UUP,stock,27.37,27.3908,27.2831,27.32,769772
2025-06-03,UUP,stock,27.41,27.45,27.38,27.44,1306936
2025-06-02,UUP,stock,27.33,27.3465,27.2543,27.26,1051213
2025-05-30,UUP,stock,27.51,27.5499,27.44,27.45,1030002
2025-05-29,UUP,stock,27.48,27.5,27.415,27.46,980363
2025-05-28,UUP,stock,27.58,27.61,27.525,27.61,801325
2025-05-27,UUP,stock,27.4,27.52,27.4,27.52,1060546
2025-05-23,UUP,stock,27.44,27.4699,27.34,27.37,1261335
2025-05-22,UUP,stock,27.54,27.63,27.53,27.57,656658
2025-05-21,UUP,stock,27.48,27.5,27.4,27.49,859200
2025-05-20,UUP,stock,27.71,27.71,27.59,27.61,430275
2025-05-19,UUP,stock,27.65,27.721,27.64,27.69,894436
2025-05-16,UUP,stock,27.81,27.9248,27.771,27.88,807779
2025-05-15,UUP,stock,27.78,27.84,27.75,27.8,850483
2025-05-14,UUP,stock,27.73,27.87,27.705,27.87,1026587
2025-05-13,UUP,stock,27.94,27.9554,27.81,27.81,736933
2025-05-12,UUP,stock,27.975,28.1093,27.95,28.05,1948689
2025-05-09,UUP,stock,27.65,27.6769,27.5901,27.66,1307051
2025-05-08,UUP,stock,27.52,27.77,27.51,27.74,869600
2025-05-07,UUP,stock,27.39,27.52,27.36,27.51,812228
2025-05-06,UUP,stock,27.37,27.4,27.305,27.31,649983
2025-05-05,UUP,stock,27.39,27.5155,27.39,27.48,617675
2025-05-02,UUP,stock,27.44,27.545,27.36,27.53,1285621
2025-05-01,UUP,stock,27.49,27.63,27.48,27.57,1921407
2025-04-30,UUP,stock,27.37,27.42,27.33,27.41,829286
2025-04-29,UUP,stock,27.25,27.32,27.235,27.31,852381
2025-04-28,UUP,stock,27.38,27.385,27.21,27.22,520428
2025-04-25,UUP,stock,27.42,27.45,27.35,27.39,680645
2025-04-24,UUP,stock,27.32,27.38,27.285,27.32,757110
2025-04-23,UUP,stock,27.28,27.4656,27.25,27.44,3933451
2025-04-22,UUP,stock,27.09,27.21,27.055,27.19,2219235
2025-04-21,UUP,stock,27.02,27.08,26.99,27.04,1208917
2025-04-17,UUP,stock,27.33,27.36,27.27,27.3,499944
2025-04-16,UUP,stock,27.34,27.37,27.235,27.28,1330531
2025-04-15,UUP,stock,27.42,27.533,27.39,27.51,757764
2025-04-14,UUP,stock,27.48,27.5,27.33,27.36,967979
2025-04-11,UUP,stock,27.31,27.56,27.29,27.45,1811560
2025-04-10,UUP,stock,27.88,27.9,27.6301,27.7,1867585
2025-04-09,UUP,stock,27.98,28.34,27.98,28.29,1720938
2025-04-08,UUP,stock,28.26,28.39,28.195,28.25,491668
2025-04-07,UUP,stock,28.25,28.42,28.25,28.38,2740472
