﻿date,asset_ticker,asset_type,open,high,low,close,volume,merge_date,date,RSI_14,EMA_20,EMA_200,EMA_50
2025-07-28,BTC,digital_currency,119465.52,119725,119373.08,119586,94.99357372,2025-07-28,2025-07-28,59.8409,50.9950,41.2932,48.4898
2025-07-25,BTC,digital_currency,117305.1,117706,117205.92,117633.27,336.7441655,2025-07-25,2025-07-25,57.6688,50.8544,41.1823,48.3331
2025-07-24,BTC,digital_currency,118810.44,119557.7,117190,118397.04,7136.432413,2025-07-24,2025-07-24,63.3505,50.7581,41.0758,48.1928
2025-07-23,BTC,digital_currency,120034.21,120180.93,117342.21,118810.44,5526.138199,2025-07-23,2025-07-23,62.3870,50.5463,40.9583,48.0060
2025-07-22,BTC,digital_currency,117428.79,120300,116185,120026.42,7564.588529,2025-07-22,2025-07-22,64.7583,50.3417,40.8424,47.8229
2025-07-21,BTC,digital_currency,117315.68,119745.93,116565.01,117428.79,5450.554503,2025-07-21,2025-07-21,60.8791,50.0713,40.7211,47.6153
2025-07-18,BTC,digital_currency,119273.7,120918.68,116892.42,118023.05,8735.403864,2025-07-18,2025-07-18,62.3370,49.8967,40.6105,47.4474
2025-07-17,BTC,digital_currency,118681.67,120998.76,117469,119273.69,8360.351309,2025-07-17,2025-07-17,66.3246,49.6753,40.4960,47.2615
2025-07-16,BTC,digital_currency,117781.63,120134.8,117033.23,118681.68,9250.986426,2025-07-16,2025-07-16,67.0337,49.3538,40.3731,47.0383
2025-07-15,BTC,digital_currency,119863.71,119973.3,115697.37,117781.64,23726.31356,2025-07-15,2025-07-15,63.5548,48.9847,40.2476,46.8007
2025-07-14,BTC,digital_currency,119130.81,123231.07,118949.18,119863.71,13536.79955,2025-07-14,2025-07-14,72.2165,48.7084,40.1334,46.6044
2025-07-11,BTC,digital_currency,116031.29,118909.74,115211.74,117582.16,10116.88621,2025-07-11,2025-07-11,70.3528,48.2419,40.0027,46.3377
2025-07-10,BTC,digital_currency,111282.84,116842,110541.87,116031.3,12920.20743,2025-07-10,2025-07-10,64.1538,47.8063,39.8783,46.0910
2025-07-09,BTC,digital_currency,108953.58,112152.91,108329.87,111282.85,7683.832396,2025-07-09,2025-07-09,61.6860,47.5470,39.7738,45.9205
