﻿date,asset_ticker,asset_type,open,high,low,close,volume,merge_date,date,RSI_14,EMA_20,EMA_200,EMA_50
2025-07-25,AGG,stock,98.3,98.48,98.25,98.45,5530410,2025-07-25,2025-07-25,56.0568,98.2115,96.7308,97.8938
2025-07-24,AGG,stock,98.11,98.36,98.09,98.29,9644196,2025-07-24,2025-07-24,53.3599,98.1863,96.7135,97.8711
2025-07-23,AGG,stock,98.45,98.48,98.32,98.35,7467087,2025-07-23,2025-07-23,54.5251,98.1754,96.6976,97.8540
2025-07-22,AGG,stock,98.48,98.64,98.43,98.57,6172677,2025-07-22,2025-07-22,58.9047,98.1571,96.6810,97.8338
2025-07-21,AGG,stock,98.46,98.54,98.36,98.38,6865690,2025-07-21,2025-07-21,56.0753,98.1136,96.6620,97.8037
2025-07-18,AGG,stock,98.15,98.17,98.0415,98.11,8443792,2025-07-18,2025-07-18,51.6860,98.0855,96.6448,97.7802
2025-07-17,AGG,stock,97.98,98.0567,97.86,97.93,8355454,2025-07-17,2025-07-17,48.5002,98.0830,96.6301,97.7667
2025-07-16,AGG,stock,97.89,98.02,97.685,97.89,23556799,2025-07-16,2025-07-16,47.7898,98.0991,96.6170,97.7601
2025-07-15,AGG,stock,98.16,98.16,97.7,97.75,9680969,2025-07-15,2025-07-15,45.3392,98.1211,96.6042,97.7548
2025-07-14,AGG,stock,98.01,98.125,97.93,98.04,6231389,2025-07-14,2025-07-14,49.8386,98.1601,96.5927,97.7550
2025-07-11,AGG,stock,98.17,98.2472,98.02,98.05,6106474,2025-07-11,2025-07-11,49.9975,98.1728,96.5781,97.7433
2025-07-10,AGG,stock,98.42,98.48,98.3,98.46,5127152,2025-07-10,2025-07-10,56.9034,98.1857,96.5633,97.7308
2025-07-09,AGG,stock,98.21,98.49,98.13,98.49,11043652,2025-07-09,2025-07-09,57.4424,98.1568,96.5443,97.7011
2025-07-08,AGG,stock,97.95,98.08,97.93,98.08,7804229,2025-07-08,2025-07-08,51.6268,98.1218,96.5247,97.6689
2025-07-07,AGG,stock,98.32,98.33,98.06,98.12,8088095,2025-07-07,2025-07-07,52.2739,98.1262,96.5091,97.6521
2025-07-03,AGG,stock,98.53,98.59,98.4057,98.47,4583196,2025-07-03,2025-07-03,58.2016,98.1268,96.4929,97.6330
2025-07-02,AGG,stock,98.68,98.7,98.54,98.67,8755956,2025-07-02,2025-07-02,61.9277,98.0907,96.4730,97.5988
2025-07-01,AGG,stock,98.87,98.9495,98.665,98.79,18480328,2025-07-01,2025-07-01,64.2183,98.0297,96.4510,97.5551
2025-06-30,AGG,stock,99.05,99.23,98.9444,99.2,14036866,2025-06-30,2025-06-30,65.9211,97.9497,96.4274,97.5047
2025-06-27,AGG,stock,98.87,99.095,98.76,98.8,25931633,2025-06-27,2025-06-27,61.7617,97.8517,96.4028,97.4485
2025-06-26,AGG,stock,98.8,99.1,98.78,99.08,9775172,2025-06-26,2025-06-26,67.0838,97.7854,96.3819,97.4064
2025-06-25,AGG,stock,98.62,98.81,98.52,98.81,8434797,2025-06-25,2025-06-25,64.3316,97.6828,96.3580,97.3511
2025-06-24,AGG,stock,98.36,98.82,98.34,98.82,7907575,2025-06-24,2025-06-24,64.5172,97.5976,96.3366,97.3045
2025-06-23,AGG,stock,98.4,98.65,98.3,98.42,5884591,2025-06-23,2025-06-23,60.2606,97.5025,96.3148,97.2557
2025-06-20,AGG,stock,98,98.305,97.95,98.22,6213004,2025-06-20,2025-06-20,57.9168,97.4393,96.2968,97.2211
2025-06-18,AGG,stock,98.21,98.395,98.03,98.13,5907865,2025-06-18,2025-06-18,56.8534,97.3905,96.2807,97.1933
2025-06-17,AGG,stock,97.95,98.115,97.76,98.06,5312113,2025-06-17,2025-06-17,56.0513,97.3459,96.2653,97.1679
2025-06-16,AGG,stock,97.89,98.07,97.75,97.76,5680895,2025-06-16,2025-06-16,52.5405,97.3040,96.2504,97.1444
2025-06-13,AGG,stock,98.11,98.16,97.76,97.96,8050549,2025-06-13,2025-06-13,55.2740,97.2892,96.2384,97.1322
2025-06-12,AGG,stock,98.24,98.32,98.12,98.31,5726351,2025-06-12,2025-06-12,60.3784,97.2518,96.2243,97.1113
2025-06-11,AGG,stock,97.79,97.98,97.7,97.95,5992536,2025-06-11,2025-06-11,56.5456,97.1738,96.2065,97.0753
