﻿date,asset_ticker,asset_type,open,high,low,close,volume,merge_date,date,RSI_14,EMA_20,EMA_200,EMA_50
2025-07-25,GLD,stock,307.82,308.31,306.2,307.4,9376386,2025-07-25,2025-07-25,48.1974,309.0004,278.5647,305.9160
2025-07-24,GLD,stock,309.29,310.99,309.06,310.27,7698763,2025-07-24,2025-07-24,52.7563,309.1689,278.2749,305.8555
2025-07-23,GLD,stock,314,314.96,311.42,312.18,10547520,2025-07-23,2025-07-23,56.0314,309.0530,277.9533,305.6753
2025-07-22,GLD,stock,314.48,316.24,313.62,316.1,13691849,2025-07-22,2025-07-22,63.5500,308.7238,277.6093,305.4098
2025-07-21,GLD,stock,311.88,313.31,311.61,313.13,10995756,2025-07-21,2025-07-21,59.7502,307.9473,277.2225,304.9735
2025-07-18,GLD,stock,309.24,309.37,308.32,308.39,5574281,2025-07-18,2025-07-18,52.3960,307.4018,276.8616,304.6405
2025-07-17,GLD,stock,305.5,307.665,305.12,307.59,6642258,2025-07-17,2025-07-17,50.9927,307.2978,276.5447,304.4875
2025-07-16,GLD,stock,307.11,311.09,305.73,308.26,17693100,2025-07-16,2025-07-16,52.1891,307.2670,276.2327,304.3609
2025-07-15,GLD,stock,307.73,308.74,305.79,306.73,8149008,2025-07-15,2025-07-15,49.6858,307.1625,275.9109,304.2017
2025-07-14,GLD,stock,309.07,309.38,307.73,308.01,5772879,2025-07-14,2025-07-14,51.7924,307.2080,275.6011,304.0985
2025-07-11,GLD,stock,308.855,310.28,308.5153,309.14,9187302,2025-07-11,2025-07-11,53.6574,307.1236,275.2754,303.9389
2025-07-10,GLD,stock,306.11,306.51,304.82,306.2,7059561,2025-07-10,2025-07-10,49.2418,306.9113,274.9350,303.7266
2025-07-09,GLD,stock,303.58,305.54,303.23,305.52,10644077,2025-07-09,2025-07-09,48.1814,306.9862,274.6208,303.6256
2025-07-08,GLD,stock,306.3,306.445,302.77,304.16,11840545,2025-07-08,2025-07-08,46.0898,307.1406,274.3103,303.5483
2025-07-07,GLD,stock,305.07,307.705,304.53,307.37,7351641,2025-07-07,2025-07-07,50.5629,307.4543,274.0103,303.5233
2025-07-03,GLD,stock,307.05,307.57,306.15,307.14,5275838,2025-07-03,2025-07-03,50.2416,307.4632,273.6750,303.3663
2025-07-02,GLD,stock,308.035,309.395,306.96,309.25,8316377,2025-07-02,2025-07-02,53.1862,307.4972,273.3387,303.2123
2025-07-01,GLD,stock,308.555,309,307.36,307.55,9335647,2025-07-01,2025-07-01,51.0394,307.3127,272.9778,302.9659
2025-06-30,GLD,stock,302.385,304.92,301.95,304.83,8192086,2025-06-30,2025-06-30,47.4597,307.2877,272.6303,302.7787
2025-06-27,GLD,stock,300.03,302.36,299.89,301.22,13301308,2025-06-27,2025-06-27,42.2567,307.5464,272.3067,302.6950
2025-06-26,GLD,stock,305.77,307.28,304.855,306.78,6787517,2025-06-26,2025-06-26,49.2288,308.2124,272.0161,302.7552
2025-06-25,GLD,stock,305.31,307.36,305.12,307.12,6733155,2025-06-25,2025-06-25,49.6943,308.3631,271.6667,302.5909
2025-06-24,GLD,stock,305.07,306.34,303.54,306.19,12035177,2025-06-24,2025-06-24,48.4562,308.4940,271.3104,302.4061
2025-06-23,GLD,stock,310.34,312.67,310.31,311.08,12687916,2025-06-23,2025-06-23,55.0745,308.7365,270.9599,302.2516
2025-06-20,GLD,stock,309.33,310.89,309.25,310.13,8794711,2025-06-20,2025-06-20,53.9396,308.4899,270.5566,301.8913
2025-06-18,GLD,stock,312.89,312.98,309.86,310.26,9370785,2025-06-18,2025-06-18,54.1133,308.3172,270.1589,301.5550
2025-06-17,GLD,stock,312.66,313,310.12,311.94,8234115,2025-06-17,2025-06-17,56.2885,308.1127,269.7559,301.1997
2025-06-16,GLD,stock,314.8,314.87,311.65,311.78,12848440,2025-06-16,2025-06-16,56.1326,307.7098,269.3319,300.7613
2025-06-13,GLD,stock,317.26,317.6,315.0375,316.29,16592949,2025-06-13,2025-06-13,61.9138,307.2814,268.9053,300.3116
2025-06-12,GLD,stock,311.74,313.1,311.15,312.2,11531407,2025-06-12,2025-06-12,58.2969,306.3331,268.4291,299.6594
2025-06-11,GLD,stock,307.5,308.615,305.85,308.37,9248766,2025-06-11,2025-06-11,54.5432,305.7155,267.9892,299.1476
