﻿date,asset_ticker,asset_type,open,high,low,close,volume,merge_date,date,RSI_14,EMA_20,EMA_200,EMA_50
2025-07-25,SPY,stock,635.09,637.5799,634.84,637.1,56865364,2025-07-25,2025-07-25,76.1862,623.8157,578.3387,607.4490
2025-07-24,SPY,stock,634.6,636.15,633.99,634.42,71307134,2025-07-24,2025-07-24,74.2767,622.4174,577.7481,606.2387
2025-07-23,SPY,stock,631.55,634.21,629.73,634.21,70511036,2025-07-23,2025-07-23,74.1257,621.1540,577.1786,605.0885
2025-07-22,SPY,stock,629.1,629.73,626.19,628.86,60046288,2025-07-22,2025-07-22,69.9543,619.7797,576.6054,603.8999
2025-07-21,SPY,stock,628.77,631.54,628.34,628.77,63374984,2025-07-21,2025-07-21,69.8785,618.8238,576.0802,602.8811
2025-07-18,SPY,stock,629.3,629.47,626.46,627.58,65621645,2025-07-18,2025-07-18,68.9149,617.7769,575.5507,601.8244
2025-07-17,SPY,stock,624.4,628.4048,624.18,628.04,68885683,2025-07-17,2025-07-17,69.7154,616.7450,575.0278,600.7731
2025-07-16,SPY,stock,623.74,624.73,618.05,624.22,88987511,2025-07-16,2025-07-16,66.7359,615.5560,574.4950,599.6602
2025-07-15,SPY,stock,627.52,627.86,622.06,622.14,74317260,2025-07-15,2025-07-15,64.9947,614.6440,573.9952,598.6578
2025-07-14,SPY,stock,623.16,625.1581,621.7999,624.81,51898518,2025-07-14,2025-07-14,69.3199,613.8549,573.5114,597.6993
2025-07-11,SPY,stock,622.74,624.86,621.53,623.62,63670226,2025-07-11,2025-07-11,68.4510,612.7018,572.9958,596.5927
2025-07-10,SPY,stock,624.2,626.8701,623.01,625.82,57528960,2025-07-10,2025-07-10,71.9492,611.5525,572.4870,595.4896
2025-07-09,SPY,stock,622.77,624.72,620.9105,624.06,66113326,2025-07-09,2025-07-09,70.8422,610.0507,571.9510,594.2516
2025-07-08,SPY,stock,621.35,622.11,619.52,620.34,59024585,2025-07-08,2025-07-08,68.3944,608.5760,571.4273,593.0349
2025-07-07,SPY,stock,623.36,624.03,617.87,620.68,74814505,2025-07-07,2025-07-07,68.8852,607.3377,570.9357,591.9204
2025-07-03,SPY,stock,622.45,626.28,622.43,625.34,51065789,2025-07-03,2025-07-03,75.8086,605.9332,570.4358,590.7466
2025-07-02,SPY,stock,617.24,620.49,616.61,620.45,66510374,2025-07-02,2025-07-02,73.1823,603.8904,569.8840,589.3346
2025-07-01,SPY,stock,616.36,618.83,615.52,617.65,70030140,2025-07-01,2025-07-01,71.5394,602.1473,569.3758,588.0646
2025-06-30,SPY,stock,617.38,619.22,615.04,617.85,92502541,2025-06-30,2025-06-30,71.8313,600.5154,568.8906,586.8570
2025-06-27,SPY,stock,612.88,616.39,610.83,614.91,86258398,2025-06-27,2025-06-27,70.1701,598.6907,568.3985,585.5920
2025-06-26,SPY,stock,608.99,612.31,608.37,611.87,78548361,2025-06-26,2025-06-26,68.3796,596.9834,567.9311,584.3954
2025-06-25,SPY,stock,607.91,608.61,605.54,607.12,62114767,2025-06-25,2025-06-25,65.3633,595.4164,567.4895,583.2739
2025-06-24,SPY,stock,604.33,607.8499,603.41,606.78,67735293,2025-06-24,2025-06-24,65.1423,594.1845,567.0912,582.3006
2025-06-23,SPY,stock,595.04,600.54,591.89,600.15,87426039,2025-06-23,2025-06-23,60.5887,592.8586,566.6923,581.3015
2025-06-20,SPY,stock,598.38,599.46,592.86,594.28,94051374,2025-06-20,2025-06-20,55.8469,592.0911,566.3560,580.5321
2025-06-18,SPY,stock,598.44,601.22,596.47,597.44,76605029,2025-06-18,2025-06-18,57.3698,591.8607,566.0754,579.9710
2025-06-17,SPY,stock,600.21,601.75,596.76,597.53,82209365,2025-06-17,2025-06-17,57.4634,591.4592,565.7779,579.3300
2025-06-16,SPY,stock,600.4,604.45,600.22,602.68,79984125,2025-06-16,2025-06-16,62.9189,591.0060,565.4765,578.6593
2025-06-13,SPY,stock,598.5,601.85,595.48,597,89505996,2025-06-13,2025-06-13,58.9253,589.9646,565.1205,577.7515
2025-06-12,SPY,stock,600.01,603.75,599.52,603.75,64129003,2025-06-12,2025-06-12,66.8730,589.4097,564.8179,577.0378
2025-06-11,SPY,stock,604.19,605.06,599.27,601.36,73658225,2025-06-11,2025-06-11,65.3358,588.0880,564.4445,576.0204
2025-06-10,SPY,stock,600.22,603.47,599.09,603.08,66246973,2025-06-10,2025-06-10,67.4267,586.8780,564.0914,575.0586
2025-06-09,SPY,stock,599.72,601.25,598.49,599.68,53016418,2025-06-09,2025-06-09,65.3938,585.3601,563.7174,573.9876
2025-06-06,SPY,stock,598.66,600.83,596.86,599.14,66588743,2025-06-06,2025-06-06,65.0724,584.0392,563.3738,573.0113
2025-06-05,SPY,stock,597.63,599,591.05,593.05,92436397,2025-06-05,2025-06-05,61.3085,582.6360,563.0321,572.0170
2025-06-04,SPY,stock,596.96,597.95,595.49,595.93,57314199,2025-06-04,2025-06-04,64.3538,581.7243,562.7481,571.2301
2025-06-03,SPY,stock,592.34,597.08,591.85,596.09,63606204,2025-06-03,2025-06-03,64.5191,580.4143,562.4323,570.2938
2025-06-02,SPY,stock,587.76,592.79,585.06,592.71,61630502,2025-06-02,2025-06-02,62.6362,578.9496,562.1117,569.3128
2025-05-30,SPY,stock,588.93,591.1299,583.235,589.39,90601242,2025-05-30,2025-05-30,60.7357,577.6855,561.8218,568.4293
2025-05-29,SPY,stock,593.06,593.2,586.07,590.05,70073758,2025-05-29,2025-05-29,61.3114,576.6367,561.5622,567.6448
2025-05-28,SPY,stock,591.56,592.7688,586.985,587.73,68445512,2025-05-28,2025-05-28,60.0762,575.4083,561.2934,566.8015
2025-05-27,SPY,stock,586.07,591.31,578.43,591.15,72588475,2025-05-27,2025-05-27,62.8217,574.2941,561.0452,566.0181
2025-05-23,SPY,stock,575.98,581.8101,575.6,579.11,76029046,2025-05-23,2025-05-23,56.2922,572.7037,560.7602,565.0636
2025-05-22,SPY,stock,582.66,586.62,581.405,583.09,70860417,2025-05-22,2025-05-22,59.4997,572.2094,560.5930,564.5601
2025-05-21,SPY,stock,588.44,592.58,581.82,582.86,95197657,2025-05-21,2025-05-21,59.3755,571.2454,560.3842,563.8741
2025-05-20,SPY,stock,593.09,594.05,589.6,592.85,60614492,2025-05-20,2025-05-20,67.7571,570.2041,560.1756,563.1695
2025-05-19,SPY,stock,588.1,595.54,588.1,594.85,68168509,2025-05-19,2025-05-19,69.5831,568.0048,559.8648,562.0295
2025-05-16,SPY,stock,591.25,594.5,589.28,594.2,76052101,2025-05-16,2025-05-16,69.3337,565.3640,559.5309,560.7617
2025-05-15,SPY,stock,585.56,590.97,585.0969,590.46,71268145,2025-05-15,2025-05-15,67.9287,562.5134,559.2001,559.4685
2025-05-14,SPY,stock,587.81,588.98,585.535,587.59,66283531,2025-05-14,2025-05-14,66.8463,559.7553,558.9034,558.2747
2025-05-13,SPY,stock,583.41,589.08,582.84,586.84,67947225,2025-05-13,2025-05-13,66.5725,557.0081,558.6326,557.1491
2025-05-12,SPY,stock,581.47,583,577.04,582.99,78993570,2025-05-12,2025-05-12,65.2030,554.0504,558.3665,556.0080
2025-05-09,SPY,stock,566.48,567.5,562.7637,564.34,37603427,2025-05-09,2025-05-09,57.3411,551.1854,558.1364,554.9770
2025-05-08,SPY,stock,565.24,570.31,561.7,565.06,65130787,2025-05-08,2025-05-08,57.8093,549.9763,558.0908,554.6629
2025-05-07,SPY,stock,560.15,563.82,556.04,561.15,55733229,2025-05-07,2025-05-07,55.9975,548.5642,558.0375,554.3066
2025-05-06,SPY,stock,557.93,563.3476,556.96,558.8,48264708,2025-05-06,2025-05-06,54.9170,547.4140,558.0229,554.0950
2025-05-05,SPY,stock,562.57,566.65,561.7,563.51,38659222,2025-05-05,2025-05-05,57.5469,546.3892,558.0317,553.9703
2025-05-02,SPY,stock,564.73,568.38,562.38,566.76,60717270,2025-05-02,2025-05-02,59.3685,544.7623,557.9933,553.6489
2025-05-01,SPY,stock,560.37,564.0699,557.86,558.47,63186146,2025-05-01,2025-05-01,56.0752,542.6230,557.9221,553.1821
2025-04-30,SPY,stock,547.57,556.52,541.52,554.54,93101463,2025-04-30,2025-04-30,54.4499,541.1286,557.9331,553.0337
2025-04-29,SPY,stock,548.91,555.45,548.55,554.32,47775121,2025-04-29,2025-04-29,54.3621,539.8894,557.9837,553.0390
2025-04-28,SPY,stock,551.39,553.55,545.02,550.85,47613755,2025-04-28,2025-04-28,53.0367,538.5427,558.0370,553.0536
2025-04-25,SPY,stock,546.65,551.05,543.69,550.64,61119590,2025-04-25,2025-04-25,52.9599,537.4186,558.1256,553.2100
2025-04-24,SPY,stock,536.715,547.43,535.4504,546.69,64150418,2025-04-24,2025-04-24,51.5773,536.1981,558.2172,553.3813
2025-04-23,SPY,stock,540.43,545.43,533.88,535.42,90590658,2025-04-23,2025-04-23,47.4881,535.2637,558.3493,553.7203
2025-04-22,SPY,stock,520.14,529.305,519.1925,527.25,75948117,2025-04-22,2025-04-22,44.3231,535.4138,558.5956,554.5319
2025-04-21,SPY,stock,521.16,521.7,508.46,513.88,69368129,2025-04-21,2025-04-21,38.7096,536.4371,558.9263,555.7090
2025-04-17,SPY,stock,527.64,531.165,523.91,526.41,79868083,2025-04-17,2025-04-17,42.4326,538.9714,559.3943,557.4783
2025-04-16,SPY,stock,531.68,537.8854,520.29,525.66,83484814,2025-04-16,2025-04-16,42.1232,540.4574,559.7414,558.8098
2025-04-15,SPY,stock,539.675,543.23,536.81,537.61,56892874,2025-04-15,2025-04-15,45.7620,542.1785,560.0995,560.2263
2025-04-14,SPY,stock,544.05,544.28,533.86,539.12,68033993,2025-04-14,2025-04-14,46.2306,542.8266,560.3415,561.2142
2025-04-11,SPY,stock,523.01,536.43,520.07,533.94,97866334,2025-04-11,2025-04-11,44.4176,543.3844,560.5708,562.1811
2025-04-10,SPY,stock,532.17,533.495,509.32,524.58,162331225,2025-04-10,2025-04-10,41.0846,544.5446,560.8543,563.3982
2025-04-09,SPY,stock,493.44,548.62,493.05,548.62,241867317,2025-04-09,2025-04-09,47.9408,546.8093,561.2345,565.0458
2025-04-08,SPY,stock,521.86,524.98,489.16,496.48,165816581,2025-04-08,2025-04-08,21.5869,546.7894,561.3775,565.7824
2025-04-07,SPY,stock,489.19,523.17,481.8,504.38,256611355,2025-04-07,2025-04-07,23.2423,552.2395,562.0445,568.6710
2025-04-04,SPY,stock,523.67,525.87,505.06,505.28,217965131,2025-04-04,2025-04-04,23.4324,557.4342,562.6390,571.3559
2025-04-03,SPY,stock,545.11,547.97,536.7,536.7,125985998,2025-04-03,2025-04-03,31.8863,563.0813,563.2305,574.1139
2025-04-02,SPY,stock,555.05,567.42,554.81,564.52,76014544,2025-04-02,2025-04-02,45.3333,566.0252,563.5131,575.7057
2025-04-01,SPY,stock,557.45,562.94,553.68,560.97,54609641,2025-04-01,2025-04-01,42.4579,566.3592,563.5197,576.2303
2025-03-31,SPY,stock,549.83,560.7112,546.87,559.39,95328213,2025-03-31,2025-03-31,41.1793,567.1010,563.5620,576.9208
2025-03-28,SPY,stock,565.53,566.2675,555.07,555.66,71662653,2025-03-28,2025-03-28,38.1674,568.0866,563.6206,577.7038
2025-03-27,SPY,stock,567.18,570.9,564.94,567.08,42164248,2025-03-27,2025-03-27,44.6702,569.5675,563.7171,578.6706
2025-03-26,SPY,stock,575.19,576.33,567.19,568.59,52228898,2025-03-26,2025-03-26,45.6246,570.0058,563.7001,579.2121
